Time,mem_cache
2025-07-16 06:07:30,4604000
2025-07-16 06:07:45,4600112
2025-07-16 06:08:00,4600112
2025-07-16 06:08:15,4600112
2025-07-16 06:08:30,4600112
2025-07-16 06:08:45,4601824
2025-07-16 06:09:00,4601824
2025-07-16 06:09:15,4601824
2025-07-16 06:09:30,4601824
2025-07-16 06:09:45,4599976
2025-07-16 06:10:00,4599976
2025-07-16 06:10:15,4599976
2025-07-16 06:10:30,4599976
2025-07-16 06:10:45,4601832
2025-07-16 06:11:00,4601832
2025-07-16 06:11:15,4601832
2025-07-16 06:11:30,4601832
2025-07-16 06:11:45,4604212
2025-07-16 06:12:00,4604212
2025-07-16 06:12:15,4604212
2025-07-16 06:12:30,4604212
2025-07-16 06:12:45,4606420
2025-07-16 06:13:00,4606420
2025-07-16 06:13:15,4606420
2025-07-16 06:13:30,4606420
2025-07-16 06:13:45,4608296
2025-07-16 06:14:00,4608296
2025-07-16 06:14:15,4608296
2025-07-16 06:14:30,4608296
2025-07-16 06:14:45,4610212
2025-07-16 06:15:00,4610212
2025-07-16 06:15:15,4610212
2025-07-16 06:15:30,4610212
2025-07-16 06:15:45,4611996
2025-07-16 06:16:00,4611996
2025-07-16 06:16:15,4611996
2025-07-16 06:16:30,4611996
2025-07-16 06:16:45,4613636
2025-07-16 06:17:00,4613636
2025-07-16 06:17:15,4613636
2025-07-16 06:17:30,4613636
2025-07-16 06:17:45,4615348
2025-07-16 06:18:00,4615348
2025-07-16 06:18:15,4615348
2025-07-16 06:18:30,4615348
2025-07-16 06:18:45,4795004
2025-07-16 06:19:00,4795004
2025-07-16 06:19:15,4795004
2025-07-16 06:19:30,4795004
2025-07-16 06:19:45,4796620
2025-07-16 06:20:00,4796620
2025-07-16 06:20:15,4796620
2025-07-16 06:20:30,4796620
2025-07-16 06:20:45,4797964
2025-07-16 06:21:00,4797964
2025-07-16 06:21:15,4797964
2025-07-16 06:21:30,4797964
2025-07-16 06:21:45,4799232
2025-07-16 06:22:00,4799232
2025-07-16 06:22:15,4799232
2025-07-16 06:22:30,4799232
2025-07-16 06:22:45,4785932
2025-07-16 06:23:00,4785932
2025-07-16 06:23:15,4785932
2025-07-16 06:23:30,4785932
2025-07-16 06:23:45,4787280
2025-07-16 06:24:00,4787280
2025-07-16 06:24:15,4787280
2025-07-16 06:24:30,4787280
2025-07-16 06:24:45,4788592
2025-07-16 06:25:00,4788592
2025-07-16 06:25:15,4788592
2025-07-16 06:25:30,4788592
2025-07-16 06:25:45,4789928
2025-07-16 06:26:00,4789928
2025-07-16 06:26:15,4789928
2025-07-16 06:26:30,4789928
2025-07-16 06:26:45,4791140
2025-07-16 06:27:00,4791140
2025-07-16 06:27:15,4791140
2025-07-16 06:27:30,4791140
2025-07-16 06:27:45,4792320
2025-07-16 06:28:00,4792320
2025-07-16 06:28:15,4792320
2025-07-16 06:28:30,4792320
2025-07-16 06:28:45,4793524
2025-07-16 06:29:00,4793524
2025-07-16 06:29:15,4793524
2025-07-16 06:29:30,4793524
2025-07-16 06:29:45,4794680
2025-07-16 06:30:00,4794680
2025-07-16 06:30:15,4794680
2025-07-16 06:30:30,4794680
2025-07-16 06:30:45,4795876
2025-07-16 06:31:00,4795876
2025-07-16 06:31:15,4795876
2025-07-16 06:31:30,4795876
2025-07-16 06:31:45,4797016
2025-07-16 06:32:00,4797016
2025-07-16 06:32:15,4797016
2025-07-16 06:32:30,4797016
2025-07-16 06:32:45,4798144
2025-07-16 06:33:00,4798144
2025-07-16 06:33:15,4798144
2025-07-16 06:33:30,4798144
2025-07-16 06:33:45,4799160
2025-07-16 06:34:00,4799160
2025-07-16 06:34:15,4799160
2025-07-16 06:34:30,4799160
2025-07-16 06:34:45,4800140
2025-07-16 06:35:00,4800140
2025-07-16 06:35:15,4800140
2025-07-16 06:35:30,4800140
2025-07-16 06:35:45,4801164
2025-07-16 06:36:00,4801164
2025-07-16 06:36:15,4801164
2025-07-16 06:36:30,4801164
2025-07-16 06:36:45,4802276
2025-07-16 06:37:00,4802276
2025-07-16 06:37:15,4802276
2025-07-16 06:37:30,4802276
2025-07-16 06:37:45,4822892
2025-07-16 06:38:00,4822892
2025-07-16 06:38:15,4822892
2025-07-16 06:38:30,4822892
2025-07-16 06:38:45,4824532
2025-07-16 06:39:00,4824532
2025-07-16 06:39:15,4824532
2025-07-16 06:39:30,4824532
2025-07-16 06:39:45,4825952
2025-07-16 06:40:00,4825952
2025-07-16 06:40:15,4825952
2025-07-16 06:40:30,4825952
2025-07-16 06:40:45,4827032
2025-07-16 06:41:00,4827032
2025-07-16 06:41:15,4827032
2025-07-16 06:41:30,4827032
2025-07-16 06:41:45,4819432
2025-07-16 06:42:00,4819432
2025-07-16 06:42:15,4819432
2025-07-16 06:42:30,4819432
2025-07-16 06:42:45,4820224
2025-07-16 06:43:00,4820224
2025-07-16 06:43:15,4820224
2025-07-16 06:43:30,4820224
2025-07-16 06:43:45,4822472
2025-07-16 06:44:00,4822472
2025-07-16 06:44:15,4822472
2025-07-16 06:44:30,4822472
2025-07-16 06:44:45,4824900
2025-07-16 06:45:00,4824900
2025-07-16 06:45:15,4824900
2025-07-16 06:45:30,4824900
2025-07-16 06:45:45,4827704
2025-07-16 06:46:00,4827704
2025-07-16 06:46:15,4827704
2025-07-16 06:46:30,4827704
2025-07-16 06:46:45,4830784
2025-07-16 06:47:00,4830784
2025-07-16 06:47:15,4830784
2025-07-16 06:47:30,4830784
2025-07-16 06:47:45,4833160
2025-07-16 06:48:00,4833160
2025-07-16 06:48:15,4833160
2025-07-16 06:48:30,4833160
2025-07-16 06:48:45,4835968
2025-07-16 06:49:00,4835968
2025-07-16 06:49:15,4835968
2025-07-16 06:49:30,4835968
2025-07-16 06:49:45,4839316
2025-07-16 06:50:00,4839316
2025-07-16 06:50:15,4839316
2025-07-16 06:50:30,4839316
2025-07-16 06:50:45,4842336
2025-07-16 06:51:00,4842336
2025-07-16 06:51:15,4842336
2025-07-16 06:51:30,4842336
2025-07-16 06:51:45,4845948
2025-07-16 06:52:00,4845948
2025-07-16 06:52:15,4845948
2025-07-16 06:52:30,4845948
2025-07-16 06:52:45,4849008
2025-07-16 06:53:00,4849008
2025-07-16 06:53:15,4849008
2025-07-16 06:53:30,4849008
2025-07-16 06:53:45,4842860
2025-07-16 06:54:00,4842860
2025-07-16 06:54:15,4842860
2025-07-16 06:54:30,4842860
2025-07-16 06:54:45,4845612
2025-07-16 06:55:00,4845612
2025-07-16 06:55:15,4845612
2025-07-16 06:55:30,4845612
2025-07-16 06:55:45,4849384
2025-07-16 06:56:00,4849384
2025-07-16 06:56:15,4849384
2025-07-16 06:56:30,4849384
2025-07-16 06:56:45,4852160
2025-07-16 06:57:00,4852160
2025-07-16 06:57:15,4852160
2025-07-16 06:57:30,4852160
2025-07-16 06:57:45,4854900
2025-07-16 06:58:00,4854900
2025-07-16 06:58:15,4854900
2025-07-16 06:58:30,4854900
2025-07-16 06:58:45,4858172
2025-07-16 06:59:00,4858172
2025-07-16 06:59:15,4858172
2025-07-16 06:59:30,4858172
2025-07-16 06:59:45,4862084
2025-07-16 07:00:00,4862084
2025-07-16 07:00:15,4862084
2025-07-16 07:00:30,4862084
2025-07-16 07:00:45,4863080
2025-07-16 07:01:00,4863080
2025-07-16 07:01:15,4863080
2025-07-16 07:01:30,4863080
2025-07-16 07:01:45,4866864
2025-07-16 07:02:00,4866864
2025-07-16 07:02:15,4866864
2025-07-16 07:02:30,4866864
2025-07-16 07:02:45,4859508
2025-07-16 07:03:00,4859508
2025-07-16 07:03:15,4859508
2025-07-16 07:03:30,4859508
2025-07-16 07:03:45,4862560
2025-07-16 07:04:00,4862560
2025-07-16 07:04:15,4862560
2025-07-16 07:04:30,4862560
2025-07-16 07:04:45,4866012
2025-07-16 07:05:00,4866012
2025-07-16 07:05:15,4866012
2025-07-16 07:05:30,4866012
2025-07-16 07:05:45,4869108
2025-07-16 07:06:00,4869108
2025-07-16 07:06:15,4869108
2025-07-16 07:06:30,4869108
2025-07-16 07:06:45,4872776
2025-07-16 07:07:00,4872776
2025-07-16 07:07:15,4872776
2025-07-16 07:07:30,4872776
2025-07-16 07:07:45,4876024
2025-07-16 07:08:00,4876024
2025-07-16 07:08:15,4876024
2025-07-16 07:08:30,4876024
2025-07-16 07:08:45,4879256
2025-07-16 07:09:00,4879256
2025-07-16 07:09:15,4879256
2025-07-16 07:09:30,4879256
2025-07-16 07:09:45,4882808
2025-07-16 07:10:00,4882808
2025-07-16 07:10:15,4882808
2025-07-16 07:10:30,4882808
2025-07-16 07:10:45,4886428
2025-07-16 07:11:00,4886428
2025-07-16 07:11:15,4886428
2025-07-16 07:11:30,4886428
2025-07-16 07:11:45,4889928
2025-07-16 07:12:00,4889928
2025-07-16 07:12:15,4889928
2025-07-16 07:12:30,4889928
2025-07-16 07:12:45,4883224
2025-07-16 07:13:00,4883224
2025-07-16 07:13:15,4883224
2025-07-16 07:13:30,4883224
2025-07-16 07:13:45,4886608
2025-07-16 07:14:00,4886608
2025-07-16 07:14:15,4886608
2025-07-16 07:14:30,4886608
2025-07-16 07:14:45,4889988
2025-07-16 07:15:00,4889988
2025-07-16 07:15:15,4889988
2025-07-16 07:15:30,4889988
2025-07-16 07:15:45,4893676
2025-07-16 07:16:00,4893676
2025-07-16 07:16:15,4893676
2025-07-16 07:16:30,4893676
2025-07-16 07:16:45,4897400
2025-07-16 07:17:00,4897400
2025-07-16 07:17:15,4897400
2025-07-16 07:17:30,4897400
2025-07-16 07:17:45,4901076
2025-07-16 07:18:00,4901076
2025-07-16 07:18:15,4901076
2025-07-16 07:18:30,4901076
2025-07-16 07:18:45,4904408
2025-07-16 07:19:00,4904408
2025-07-16 07:19:15,4904408
2025-07-16 07:19:30,4904408
2025-07-16 07:19:45,4907568
2025-07-16 07:20:00,4907568
2025-07-16 07:20:15,4907568
2025-07-16 07:20:30,4907568
2025-07-16 07:20:45,4901064
2025-07-16 07:21:00,4901064
2025-07-16 07:21:15,4901064
2025-07-16 07:21:30,4901064
2025-07-16 07:21:45,4904048
2025-07-16 07:22:00,4904048
2025-07-16 07:22:15,4904048
2025-07-16 07:22:30,4904048
2025-07-16 07:22:45,4907300
2025-07-16 07:23:00,4907300
2025-07-16 07:23:15,4907300
2025-07-16 07:23:30,4907300
2025-07-16 07:23:45,4910796
2025-07-16 07:24:00,4910796
2025-07-16 07:24:15,4910796
2025-07-16 07:24:30,4910796
2025-07-16 07:24:45,4914084
2025-07-16 07:25:00,4914084
2025-07-16 07:25:15,4914084
2025-07-16 07:25:30,4914084
2025-07-16 07:25:45,4917676
2025-07-16 07:26:00,4917676
2025-07-16 07:26:15,4917676
2025-07-16 07:26:30,4917676
2025-07-16 07:26:45,4921348
2025-07-16 07:27:00,4921348
2025-07-16 07:27:15,4921348
2025-07-16 07:27:30,4921348
2025-07-16 07:27:45,4925208
2025-07-16 07:28:00,4925208
2025-07-16 07:28:15,4925208
2025-07-16 07:28:30,4925208
2025-07-16 07:28:45,4926976
2025-07-16 07:29:00,4926976
2025-07-16 07:29:15,4926976
2025-07-16 07:29:30,4926976
2025-07-16 07:29:45,4927836
2025-07-16 07:30:00,4927836
2025-07-16 07:30:15,4927836
2025-07-16 07:30:30,4927836
2025-07-16 07:30:45,4928628
2025-07-16 07:31:00,4928628
2025-07-16 07:31:15,4928628
2025-07-16 07:31:30,4928628
2025-07-16 07:31:45,4929344
2025-07-16 07:32:00,4929344
2025-07-16 07:32:15,4929344
2025-07-16 07:32:30,4929344
2025-07-16 07:32:45,4930208
2025-07-16 07:33:00,4930208
2025-07-16 07:33:15,4930208
2025-07-16 07:33:30,4930208
2025-07-16 07:33:45,4931048
2025-07-16 07:34:00,4931048
2025-07-16 07:34:15,4931048
2025-07-16 07:34:30,4931048
2025-07-16 07:34:45,4931784
2025-07-16 07:35:00,4931784
2025-07-16 07:35:15,4931784
2025-07-16 07:35:30,4931784
2025-07-16 07:35:45,4922724
2025-07-16 07:36:00,4922724
2025-07-16 07:36:15,4922724
2025-07-16 07:36:30,4922724
2025-07-16 07:36:45,4923532
2025-07-16 07:37:00,4923532
2025-07-16 07:37:15,4923532
2025-07-16 07:37:30,4923532
2025-07-16 07:37:45,4924204
2025-07-16 07:38:00,4924204
2025-07-16 07:38:15,4924204
2025-07-16 07:38:30,4924204
2025-07-16 07:38:45,4924956
2025-07-16 07:39:00,4924956
2025-07-16 07:39:15,4924956
2025-07-16 07:39:30,4924956
2025-07-16 07:39:45,4925780
2025-07-16 07:40:00,4925780
2025-07-16 07:40:15,4925780
2025-07-16 07:40:30,4925780
2025-07-16 07:40:45,4926440
2025-07-16 07:41:00,4926440
2025-07-16 07:41:15,4926440
2025-07-16 07:41:30,4926440
2025-07-16 07:41:45,4927232
2025-07-16 07:42:00,4927232
2025-07-16 07:42:15,4927232
2025-07-16 07:42:30,4927232
2025-07-16 07:42:45,4927956
2025-07-16 07:43:00,4927956
2025-07-16 07:43:15,4927956
2025-07-16 07:43:30,4927956
2025-07-16 07:43:45,4928732
2025-07-16 07:44:00,4928732
2025-07-16 07:44:15,4928732
2025-07-16 07:44:30,4928732
2025-07-16 07:44:45,4929480
2025-07-16 07:45:00,4929480
2025-07-16 07:45:15,4929480
2025-07-16 07:45:30,4929480
2025-07-16 07:45:45,4930288
2025-07-16 07:46:00,4930288
2025-07-16 07:46:15,4930288
2025-07-16 07:46:30,4930288
2025-07-16 07:46:45,4930976
2025-07-16 07:47:00,4930976
2025-07-16 07:47:15,4930976
2025-07-16 07:47:30,4930976
2025-07-16 07:47:45,4931708
2025-07-16 07:48:00,4931708
2025-07-16 07:48:15,4931708
2025-07-16 07:48:30,4931708
2025-07-16 07:48:45,4932484
2025-07-16 07:49:00,4932484
2025-07-16 07:49:15,4932484
2025-07-16 07:49:30,4932484
2025-07-16 07:49:45,4933152
2025-07-16 07:50:00,4933152
2025-07-16 07:50:15,4933152
2025-07-16 07:50:30,4933152
2025-07-16 07:50:45,4933948
2025-07-16 07:51:00,4933948
2025-07-16 07:51:15,4933948
2025-07-16 07:51:30,4933948
2025-07-16 07:51:45,4934588
2025-07-16 07:52:00,4934588
2025-07-16 07:52:15,4934588
2025-07-16 07:52:30,4934588
2025-07-16 07:52:45,4935284
2025-07-16 07:53:00,4935284
2025-07-16 07:53:15,4935284
2025-07-16 07:53:30,4935284
2025-07-16 07:53:45,4936020
2025-07-16 07:54:00,4936020
2025-07-16 07:54:15,4936020
2025-07-16 07:54:30,4936020
2025-07-16 07:54:45,4936696
2025-07-16 07:55:00,4936696
2025-07-16 07:55:15,4936696
2025-07-16 07:55:30,4936696
2025-07-16 07:55:45,4937436
2025-07-16 07:56:00,4937436
2025-07-16 07:56:15,4937436
2025-07-16 07:56:30,4937436
2025-07-16 07:56:45,4938128
2025-07-16 07:57:00,4938128
2025-07-16 07:57:15,4938128
2025-07-16 07:57:30,4938128
2025-07-16 07:57:45,4938912
2025-07-16 07:58:00,4938912
2025-07-16 07:58:15,4938912
2025-07-16 07:58:30,4938912
2025-07-16 07:58:45,4939568
2025-07-16 07:59:00,4939568
2025-07-16 07:59:15,4939568
2025-07-16 07:59:30,4939568
2025-07-16 07:59:45,4940264
2025-07-16 08:00:00,4940264
2025-07-16 08:00:15,4940264
2025-07-16 08:00:30,4940264
2025-07-16 08:00:45,4941112
2025-07-16 08:01:00,4941112
2025-07-16 08:01:15,4941112
2025-07-16 08:01:30,4941112
2025-07-16 08:01:45,4941684
2025-07-16 08:02:00,4941684
2025-07-16 08:02:15,4941684
2025-07-16 08:02:30,4941684
2025-07-16 08:02:45,4942312
2025-07-16 08:03:00,4942312
2025-07-16 08:03:15,4942312
2025-07-16 08:03:30,4942312
2025-07-16 08:03:45,4943088
2025-07-16 08:04:00,4943088
2025-07-16 08:04:15,4943088
2025-07-16 08:04:30,4943088
2025-07-16 08:04:45,4943688
2025-07-16 08:05:00,4943688
2025-07-16 08:05:15,4943688
2025-07-16 08:05:30,4943688
2025-07-16 08:05:45,4944324
2025-07-16 08:06:00,4944324
2025-07-16 08:06:15,4944324
2025-07-16 08:06:30,4944324
2025-07-16 08:06:45,4945092
2025-07-16 08:07:00,4945092
2025-07-16 08:07:15,4945092
2025-07-16 08:07:30,4945092